#id_source	id_destination	relationType
5	12	studentOf
2	12	studentOf
1	12	studentOf
11	12	studentOf
1	10	studentOf
6	10	studentOf
4	10	studentOf
6	3	studentOf
11	3	studentOf
3	10	colleagueOf
10	3	colleagueOf
7	9	colleagueOf
9	7	colleagueOf
7	8	colleagueOf
8	7	colleagueOf
9	8	colleagueOf
8	9	colleagueOf
8	13	colleagueOf
13	8	colleagueOf
14	15	colleagueOf
15	14	colleagueOf
14	16	colleagueOf
16	14	colleagueOf
16	15	colleagueOf
15	16	colleagueOf
16	17	colleagueOf
17	16	colleagueOf
8	12	studentOf
12	8	advisorOf
7	12	studentOf
12	7	advisorOf
9	3	studentOf
3	9	advisorOf
13	10	studentOf
10	13	advisorOf
